Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2012-10-07, Packers, 149, 24, 207, 32, 20, 9, 89, 0, 1, 21, 13, 4, 0, 0, 1484, 27, Colts, 119, 30, 345, 55, 31, 9, 100, 0, 1, 28, 20, 8, 1, 0, 2116, 30
2012-10-08, Texans, 169, 35, 209, 28, 14, 7, 50, 0, 1, 18, 15, 6, 0, 0, 2116, 23, Jets, 69, 23, 217, 32, 14, 5, 25, 0, 2, 15, 14, 4, 2, 2, 1484, 17
2012-10-11, Steelers, 56, 22, 356, 40, 24, 4, 50, 0, 1, 19, 15, 7, 0, 0, 1797, 23, Titans, 94, 22, 265, 44, 25, 5, 45, 0, 1, 21, 16, 9, 0, 0, 1803, 26
2012-10-14, Bills, 165, 33, 141, 33, 18, 5, 39, 1, 1, 19, 13, 4, 0, 0, 1882, 19, Cardinals, 182, 30, 150, 36, 16, 7, 67, 0, 2, 20, 16, 5, 2, 2, 1948, 16
2012-10-14, Bengals, 76, 20, 362, 46, 31, 7, 50, 1, 3, 20, 14, 5, 0, 0, 1803, 24, Browns, 110, 34, 218, 29, 17, 5, 35, 0, 1, 16, 17, 7, 0, 0, 1797, 34
2012-10-14, Chiefs, 80, 30, 180, 38, 22, 7, 55, 0, 2, 15, 17, 6, 3, 1, 1991, 10, Buccaneers, 145, 24, 318, 26, 15, 6, 33, 1, 1, 19, 9, 4, 0, 0, 1609, 38
2012-10-14, Colts, 41, 17, 257, 44, 22, 3, 27, 2, 2, 21, 11, 3, 0, 0, 1580, 9, Jets, 252, 44, 99, 19, 12, 8, 110, 0, 0, 22, 12, 6, 1, 1, 2020, 35
2012-10-14, Rams, 162, 27, 300, 39, 26, 12, 94, 1, 0, 22, 13, 3, 2, 2, 2003, 14, Dolphins, 36, 17, 156, 29, 21, 5, 40, 0, 0, 12, 12, 4, 1, 1, 1597, 17
2012-10-14, Raiders, 149, 32, 325, 33, 23, 12, 110, 2, 1, 22, 13, 5, 0, 0, 2186, 20, Falcons, 45, 15, 241, 37, 24, 2, 25, 0, 3, 16, 9, 2, 0, 0, 1414, 23
2012-10-14, Lions, 138, 28, 311, 45, 22, 16, 132, 0, 1, 25, 13, 3, 0, 0, 1841, 26, Eagles, 71, 29, 286, 46, 28, 9, 60, 1, 2, 24, 17, 8, 0, 0, 1999, 23
